W obrębie tej samej precyzji (width) wzrost liczby procesów powoduje wzrost czasu trwania programu

Result: 3.14159295371828806 ; Width: 0.00000010000000000 ; Number of processes: 1   ; Time: 0.00009700000000000
Result: 3.14159398109094967 ; Width: 0.00000010000000000 ; Number of processes: 10  ; Time: 0.00039500000000000
Result: 3.14160676310206632 ; Width: 0.00000010000000000 ; Number of processes: 100 ; Time: 0.00432400000000000 
Result: 3.14166184176935115 ; Width: 0.00000010000000000 ; Number of processes: 500 ; Time: 0.02378000000000000 
Result: 3.14159266251672165 ; Width: 0.00000001000000000 ; Number of processes: 1   ; Time: 0.00009700000000000
Result: 3.14159284455694410 ; Width: 0.00000001000000000 ; Number of processes: 10  ; Time: 0.00049700000000000
Result: 3.14159431448993010 ; Width: 0.00000001000000000 ; Number of processes: 100 ; Time: 0.00360100000000000 
Result: 3.14160097417229611 ; Width: 0.00000001000000000 ; Number of processes: 500 ; Time: 0.02363100000000000 
Result: 3.14159266874662491 ; Width: 0.00000000100000000 ; Number of processes: 1   ; Time: 0.00011500000000000
Result: 3.14159268322814267 ; Width: 0.00000000100000000 ; Number of processes: 10  ; Time: 0.00072100000000000
Result: 3.14159288065595899 ; Width: 0.00000000100000000 ; Number of processes: 100 ; Time: 0.00403400000000000 
Result: 3.14159377934945194 ; Width: 0.00000000100000000 ; Number of processes: 500 ; Time: 0.02280600000000000 
