Result: 3.14159299999999986 ; Width: 0.00000010000000000 ; Number of programs: 1   ; Time: 0.00009400000000000
Result: 3.14159400000000000 ; Width: 0.00000010000000000 ; Number of programs: 10  ; Time: 0.00597300000000000
Result: 3.14160300000000037 ; Width: 0.00000010000000000 ; Number of programs: 100 ; Time: 0.00433900000000000 
Result: 3.14165899999999798 ; Width: 0.00000010000000000 ; Number of programs: 500 ; Time: 0.02072600000000000 
Result: 3.14159299999999986 ; Width: 0.00000001000000000 ; Number of programs: 1   ; Time: 0.00018300000000000
Result: 3.14159400000000000 ; Width: 0.00000001000000000 ; Number of programs: 10  ; Time: 0.03086000000000000
Result: 3.14159100000000002 ; Width: 0.00000001000000000 ; Number of programs: 100 ; Time: 0.00778500000000000 
Result: 3.14159500000000058 ; Width: 0.00000001000000000 ; Number of programs: 500 ; Time: 0.01946700000000000 
Result: 3.14159299999999986 ; Width: 0.00000000100000000 ; Number of programs: 1   ; Time: 0.00012700000000000
Result: 3.14159400000000044 ; Width: 0.00000000100000000 ; Number of programs: 10  ; Time: 0.17461900000000000
Result: 3.14158899999999974 ; Width: 0.00000000100000000 ; Number of programs: 100 ; Time: 0.05920500000000000 
Result: 3.14158799999999871 ; Width: 0.00000000100000000 ; Number of programs: 500 ; Time: 0.02308200000000000 
